# Timed voiceover prompts for charlies_train_banana_adventure
# Logo and title durations: logo 7.0s (2 in,2 hold,3 out), title 6.0s (1 in,2 hold,3 out)
# Voices start after intro offset = 7.0 + 6.0 = 13.0 seconds
# Per-scene voice length: 4.5 seconds (approx), 1.0s padding after each voice -> scene slot = 5.5s
# Voice files: assets_chimp_train/voice/parler_voiceover_{i}.wav

OFFSET=13.000
VOICE_DURATION=4.50
PAUSE_AFTER=1.00
SCENE_SLOT=5.50

# Format: index | image_filename | start_time(s) | start_time(HH:MM:SS.mmm) | duration(s) | voice_file | prompt

01 | assets_chimp_train/images/01_scene.png | 13.000 | 00:00:13.000 | 4.50 | assets_chimp_train/voice/parler_voiceover_01.wav | "Charlie the chimp sits in his cozy jungle hut, dreaming of a glowing golden banana."
02 | assets_chimp_train/images/02_scene.png | 18.500 | 00:00:18.500 | 4.50 | assets_chimp_train/voice/parler_voiceover_02.wav | "He can almost taste the sweetness as he imagines the perfect fruit."
03 | assets_chimp_train/images/03_scene.png | 24.000 | 00:00:24.000 | 4.50 | assets_chimp_train/voice/parler_voiceover_03.wav | "Today is the day; he packs his small bag and prepares for a grand journey."
04 | assets_chimp_train/images/04_scene.png | 29.500 | 00:00:29.500 | 4.50 | assets_chimp_train/voice/parler_voiceover_04.wav | "Charlie arrives at the jungle train station, where the steam engine huffs and puffs."
05 | assets_chimp_train/images/05_scene.png | 35.000 | 00:00:35.000 | 4.50 | assets_chimp_train/voice/parler_voiceover_05.wav | "He stands on the platform, his ticket held tightly in his furry hand."
06 | assets_chimp_train/images/06_scene.png | 40.500 | 00:00:40.500 | 4.50 | assets_chimp_train/voice/parler_voiceover_06.wav | "The whistle blows, and Charlie knows his adventure is finally beginning."
07 | assets_chimp_train/images/07_scene.png | 46.000 | 00:00:46.000 | 4.50 | assets_chimp_train/voice/parler_voiceover_07.wav | "He climbs aboard the wooden carriage and finds a comfortable seat."
08 | assets_chimp_train/images/08_scene.png | 51.500 | 00:00:51.500 | 4.50 | assets_chimp_train/voice/parler_voiceover_08.wav | "The train starts to move, clicking and clacking along the iron rails."
09 | assets_chimp_train/images/09_scene.png | 57.000 | 00:00:57.000 | 4.50 | assets_chimp_train/voice/parler_voiceover_09.wav | "Charlie sits quietly, watching the jungle landscape begin to move."
10 | assets_chimp_train/images/10_scene.png | 62.500 | 00:01:02.500 | 4.50 | assets_chimp_train/voice/parler_voiceover_10.wav | "He presses his face against the cool glass of the window, mesmerized."
11 | assets_chimp_train/images/11_scene.png | 68.000 | 00:01:08.000 | 4.50 | assets_chimp_train/voice/parler_voiceover_11.wav | "Tall trees and rushing rivers blur into a beautiful green streak."
12 | assets_chimp_train/images/12_scene.png | 73.500 | 00:01:13.500 | 4.50 | assets_chimp_train/voice/parler_voiceover_12.wav | "The rhythm of the train lulls him into a peaceful, expectant state."
13 | assets_chimp_train/images/13_scene.png | 79.000 | 00:01:19.000 | 4.50 | assets_chimp_train/voice/parler_voiceover_13.wav | "Finally, the train slows down as it pulls into the distant station."
14 | assets_chimp_train/images/14_scene.png | 84.500 | 00:01:24.500 | 4.50 | assets_chimp_train/voice/parler_voiceover_14.wav | "Charlie hops off the train, looking around at the exciting new place."
